config,layers,nodes,n_params,source,our_hours,paper_hours,our_mse,paper_mse,ratio_our_vs_paper
2L 50N,2,50,2851,replicated,0.4537906298091667,0.41,6.496136076399125e-05,1.1e-05,5.906
2L 100N,2,100,10701,replicated,0.5079382257113887,0.43,2.852682173426729e-05,2.3e-06,12.403
2L 150N,2,150,23551,replicated,0.5801630159444443,0.51,4.049845245317556e-06,1.5e-06,2.7
2L 200N,2,200,41401,paper only,,0.56,,1.9e-06,
2L 250N,2,250,64251,paper only,,0.73,,6.9e-06,
2L 500N,2,500,253501,paper only,,1.41,,3.9e-07,
3L 50N,3,50,5401,replicated,0.516725043715,0.44,3.444305602344684e-05,4e-06,8.611
3L 100N,3,100,20801,replicated,0.6142525331219445,0.54,9.686970203765668e-06,5.1e-06,1.899
3L 150N,3,150,46201,replicated,0.7885533928841667,0.6,2.352324687090004e-06,1.9e-06,1.238
3L 200N,3,200,81601,paper only,,0.81,,1e-06,
3L 250N,3,250,127001,paper only,,0.92,,2.7e-07,
3L 500N,3,500,504001,paper only,,2.33,,1.6e-07,
