date,close_bbg
1/4/2016,896.54
1/5/2016,897.66
1/6/2016,886.78
1/7/2016,864.48
1/8/2016,855.58
1/11/2016,858.07
1/12/2016,865.21
1/13/2016,844.08
1/14/2016,859.77
1/15/2016,839.89
1/19/2016,840.52
1/20/2016,829.78
1/21/2016,834.34
1/22/2016,851.34
1/25/2016,838.72
1/26/2016,850.03
1/27/2016,839.84
1/28/2016,847.84
1/29/2016,868.34
2/1/2016,866.62
2/2/2016,851.09
2/3/2016,854.6
2/4/2016,854.91
2/5/2016,839.77
2/8/2016,832.17
2/9/2016,830.97
2/10/2016,829.61
2/11/2016,820.61
2/12/2016,835.89
2/16/2016,848.39
2/17/2016,861.75
2/18/2016,857.16
2/19/2016,857.25
2/22/2016,868.77
2/23/2016,857.1
2/24/2016,860.15
2/25/2016,869.61
2/26/2016,866.94
2/29/2016,859.44
3/1/2016,881.01
3/2/2016,884.18
3/3/2016,885.73
3/4/2016,887.86
3/7/2016,887.58
3/8/2016,879.75
3/9/2016,883.89
3/10/2016,883.47
3/11/2016,896.55
3/14/2016,895.41
3/15/2016,895.49
3/16/2016,899.09
3/17/2016,904.69
3/18/2016,907.88
3/21/2016,909.72
3/22/2016,908.9
3/23/2016,903.95
3/24/2016,904.06
3/28/2016,903.87
3/29/2016,911.22
3/30/2016,915.75
3/31/2016,912.93
4/1/2016,919.33
4/4/2016,917.12
4/5/2016,908.59
4/6/2016,918.21
4/7/2016,907.23
4/8/2016,909.03
4/11/2016,906.57
4/12/2016,915.5
4/13/2016,924.29
4/14/2016,925.6
4/15/2016,923.97
4/18/2016,930.14
4/19/2016,933.66
4/20/2016,934.55
4/21/2016,931.04
4/22/2016,928.35
4/25/2016,927.48
4/26/2016,926.96
4/27/2016,926.62
4/28/2016,918.85
4/29/2016,915.02
5/2/2016,922.35
5/3/2016,915
5/4/2016,909.44
5/5/2016,908.8
5/6/2016,912.1
5/9/2016,912.54
5/10/2016,924.4
5/11/2016,915.62
5/12/2016,915.96
5/13/2016,907.81
5/16/2016,916.3
5/17/2016,906.82
5/18/2016,907.76
5/19/2016,904.24
5/20/2016,909.15
5/23/2016,906.99
5/24/2016,919.19
5/25/2016,926.3
5/26/2016,926.16
5/27/2016,929.49
5/31/2016,927.65
6/1/2016,928.1
6/2/2016,929.94
6/3/2016,927.46
6/6/2016,931.9
6/7/2016,932.23
6/8/2016,935.27
6/9/2016,933.58
6/10/2016,926.75
6/13/2016,919.45
6/14/2016,918.46
6/15/2016,915.73
6/16/2016,919.54
6/17/2016,914.95
6/20/2016,919.27
6/21/2016,922.05
6/22/2016,920.82
6/23/2016,932.58
6/24/2016,900.51
6/27/2016,887.38
6/28/2016,902.36
6/29/2016,916.82
6/30/2016,928.13
7/1/2016,929.68
7/5/2016,924.71
7/6/2016,929.84
7/7/2016,929.34
7/8/2016,942.25
7/11/2016,945.64
7/12/2016,950.99
7/13/2016,951.02
7/14/2016,956.63
7/15/2016,955.92
7/18/2016,958.71
7/19/2016,958.42
7/20/2016,962.44
7/21/2016,959.08
7/22/2016,962.29
7/25/2016,959.17
7/26/2016,957.09
7/27/2016,958.59
7/28/2016,959.6
7/29/2016,961.75
8/1/2016,961.79
8/2/2016,957.12
8/3/2016,958.83
8/4/2016,958.94
8/5/2016,966.92
8/8/2016,965.98
8/9/2016,966.93
8/10/2016,963.78
8/11/2016,967.66
8/12/2016,966.51
8/15/2016,968.82
8/16/2016,964.56
8/17/2016,966.49
8/18/2016,967.08
8/19/2016,964.8
8/22/2016,964.15
8/23/2016,965.39
8/24/2016,961.46
8/25/2016,959.81
8/26/2016,959.06
8/29/2016,963.55
8/30/2016,961.78
8/31/2016,960.08
9/1/2016,960.24
9/2/2016,963.67
9/6/2016,966.84
9/7/2016,966.12
9/8/2016,964.34
9/9/2016,942.62
9/12/2016,956.2
9/13/2016,943.33
9/14/2016,943.29
9/15/2016,952.6
9/16/2016,948.8
9/19/2016,947.35
9/20/2016,948.77
9/21/2016,957.25
9/22/2016,963.2
9/23/2016,957.95
9/26/2016,948.76
9/27/2016,955.65
9/28/2016,960.06
9/29/2016,950.92
9/30/2016,958.68
10/3/2016,956.16
10/4/2016,952.48
10/5/2016,956.56
10/6/2016,956.83
10/7/2016,955.09
10/10/2016,959.02
10/11/2016,949.04
10/12/2016,949.62
10/13/2016,946.42
10/14/2016,946.89
10/17/2016,944.3
10/18/2016,949.1
10/19/2016,950.01
10/20/2016,949.12
10/21/2016,949.66
10/24/2016,954.7
10/25/2016,952.8
10/26/2016,951.21
10/27/2016,949.99
10/28/2016,945.32
10/31/2016,943.87
11/1/2016,938.36
11/2/2016,931.69
11/3/2016,926.63
11/4/2016,923.84
11/7/2016,944.35
11/8/2016,947.52
11/9/2016,959.46
11/10/2016,960.4
11/11/2016,958.68
11/14/2016,955.34
11/15/2016,962.28
11/16/2016,961.39
11/17/2016,965.62
11/18/2016,963.13
11/21/2016,970.18
11/22/2016,971.38
11/23/2016,971.09
11/25/2016,975.25
11/28/2016,970.73
11/29/2016,971.99
11/30/2016,968.84
12/1/2016,966.61
12/2/2016,966.28
12/5/2016,971.19
12/6/2016,974.27
12/7/2016,986.6
12/8/2016,988.08
12/9/2016,996.02
12/12/2016,996.57
12/13/2016,1004.39
12/14/2016,997.75
12/15/2016,1001.8
12/16/2016,999.89
12/19/2016,1002.33
12/20/2016,1005.98
12/21/2016,1003.3
12/22/2016,1001.91
12/23/2016,1002.52
12/27/2016,1003.97
12/28/2016,997.11
12/29/2016,996.29
12/30/2016,991.43
1/3/2017,1000.6
1/4/2017,1003.87
1/5/2017,1004.14
1/6/2017,1008.15
1/9/2017,1005.65
1/10/2017,1004.49
1/11/2017,1006.93
1/12/2017,1004.98
1/13/2017,1006.59
1/17/2017,1003.17
1/18/2017,1003.85
1/19/2017,1000.11
1/20/2017,1003.04
1/23/2017,1000.5
1/24/2017,1004.99
1/25/2017,1013.24
1/26/2017,1013.12
1/27/2017,1012.93
1/30/2017,1006.94
1/31/2017,1004.46
2/1/2017,1006.33
2/2/2017,1006.15
2/3/2017,1013.69
2/6/2017,1012.1
2/7/2017,1012.9
2/8/2017,1012.46
2/9/2017,1017.54
2/10/2017,1020.67
2/13/2017,1026.74
2/14/2017,1032.13
2/15/2017,1037.59
2/16/2017,1037.56
2/17/2017,1039.23
2/21/2017,1045.23
2/22/2017,1045.14
2/23/2017,1047.1
2/24/2017,1047.81
2/27/2017,1048.34
2/28/2017,1046.55
3/1/2017,1061.21
3/2/2017,1056.12
3/3/2017,1056.84
3/6/2017,1054.01
3/7/2017,1051.92
3/8/2017,1050.22
3/9/2017,1052.01
3/10/2017,1055.02
3/13/2017,1054.22
3/14/2017,1051.43
3/15/2017,1058.61
3/16/2017,1057.82
3/17/2017,1055.34
3/20/2017,1053.44
3/21/2017,1041.26
3/22/2017,1042.23
3/23/2017,1040.47
3/24/2017,1039.08
3/27/2017,1038.09
3/28/2017,1045.34
3/29/2017,1045.69
3/30/2017,1049.18
3/31/2017,1046.06
4/3/2017,1045.53
4/4/2017,1047.21
4/5/2017,1043.71
4/6/2017,1043.66
4/7/2017,1042.68
4/10/2017,1042.72
4/11/2017,1040.38
4/12/2017,1037.83
4/13/2017,1030.4
4/17/2017,1039.14
4/18/2017,1036.52
4/19/2017,1033.34
4/20/2017,1040.46
4/21/2017,1037.07
4/24/2017,1048.53
4/25/2017,1055.4
4/26/2017,1054.4
4/27/2017,1055.27
4/28/2017,1054.86
5/1/2017,1057.31
5/2/2017,1058.27
5/3/2017,1058.31
5/4/2017,1058.42
5/5/2017,1061.26
5/8/2017,1062.69
5/9/2017,1060.62
