label,layers,nodes,tag,train_hours,test_mse,train_mse
2 layers 50 nodes,2,50,2L_50N,0.12394017259722222,2.7892493842955445e-06,2.7671859438669343e-06
3 layers 50 nodes,3,50,3L_50N,0.14142533747638888,2.3082910131051904e-06,2.282548489893088e-06
2 layers 100 nodes,2,100,2L_100N,0.13553542238611108,8.719680649846851e-07,8.516561068063311e-07
3 layers 100 nodes,3,100,3L_100N,0.16469201631583327,5.470124344356009e-07,5.238314849066228e-07
2 layers 150 nodes,2,150,2L_150N,0.15717015933472225,4.4451630392359223e-07,4.3246747370631055e-07
3 layers 150 nodes,3,150,3L_150N,0.20170031881277775,3.8332363697008987e-07,3.6642630267351704e-07
2 layers 200 nodes,2,200,2L_200N,0.16819785027861106,2.2871684318488406e-07,2.151874060814407e-07
3 layers 200 nodes,3,200,3L_200N,0.23882725913999997,1.826170591129994e-07,1.7049960595727497e-07
2 layers 250 nodes,2,250,2L_250N,0.20045444373222204,1.949412862131794e-07,1.8653441081823986e-07
3 layers 250 nodes,3,250,3L_250N,0.3179765120741667,5.378618280246882e-07,5.226417917810977e-07
2 layers 500 nodes,2,500,2L_500N,0.42913028750694415,9.991418099843941e-08,9.151624223306953e-08
3 layers 500 nodes,3,500,3L_500N,0.8350211066049996,8.569554556743242e-08,7.874410803196951e-08
